ID,Station,DateTimeET,Parameter,Depth_m,FinalResult,Units,Probe_Type,UniqueID,DataSource,DataSourceID,ImportDate
1,302,2025-07-21T09:41:00Z,Water Temperature,0.563,25.646,Deg-C,YSI_EXO2,302_2025-07-21 09:41_0.563_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_21July,1,2025-08-08
2,302,2025-07-21T09:41:00Z,Oxygen Saturation,0.563,90.8,%,YSI_EXO2,302_2025-07-21 09:41_0.563_LDOs_4,HoldingPond_profiles_2025.xlsx_302_21July,2,2025-08-08
3,302,2025-07-21T09:41:00Z,Dissolved Oxygen,0.563,7.41,mg/L,YSI_EXO2,302_2025-07-21 09:41_0.563_LDOd_4,HoldingPond_profiles_2025.xlsx_302_21July,3,2025-08-08
4,302,2025-07-21T09:41:00Z,Specific Conductance,0.563,99.5,uS/cm,YSI_EXO2,302_2025-07-21 09:41_0.563_SPCD_4,HoldingPond_profiles_2025.xlsx_302_21July,4,2025-08-08
5,302,2025-07-21T09:41:00Z,pH,0.563,6.62,pH,YSI_EXO2,302_2025-07-21 09:41_0.563_pH_4,HoldingPond_profiles_2025.xlsx_302_21July,5,2025-08-08
6,302,2025-07-21T09:41:00Z,Turbidity FNU,0.563,0.31,FNU,YSI_EXO2,302_2025-07-21 09:41_0.563_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_21July,6,2025-08-08
7,302,2025-07-21T09:41:00Z,Blue Green Algae RFU,0.563,-0.03,RFU,YSI_EXO2,302_2025-07-21 09:41_0.563_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,7,2025-08-08
8,302,2025-07-21T09:41:00Z,Blue Green Algae,0.563,0.04,ug/L,YSI_EXO2,302_2025-07-21 09:41_0.563_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_21July,8,2025-08-08
9,302,2025-07-21T09:41:00Z,Chlorophyll RFU,0.563,0.38,RFU,YSI_EXO2,302_2025-07-21 09:41_0.563_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,9,2025-08-08
10,302,2025-07-21T09:41:00Z,Chlorophyll,0.563,1.73,ug/L,YSI_EXO2,302_2025-07-21 09:41_0.563_Chl_4,HoldingPond_profiles_2025.xlsx_302_21July,10,2025-08-08
11,302,2025-07-21T09:42:00Z,Water Temperature,1.01,25.644,Deg-C,YSI_EXO2,302_2025-07-21 09:42_1.01_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_21July,11,2025-08-08
